id,mode,dist_train,dist_air,dist_bus,dist_car,cost_train,cost_air,cost_bus,cost_car,ivt_train,ivt_air,ivt_bus,ivt_car,ovt_train,ovt_air,ovt_bus,ovt_car,freq_train,freq_air,freq_bus,freq_car,income_train,income_air,income_bus,income_car,urban_train,urban_air,urban_bus,urban_car
39,train,354,354,354,354,59,155.8,27.34,67.26,237,56,301,231,69,97,68,0,4,9,8,0,70,70,70,70,1,1,1,1
40,train,354,354,354,354,59,155.8,27.34,67.26,237,56,301,231,69,97,68,0,4,9,8,0,45,45,45,45,1,1,1,1
41,air,354,354,354,354,59,155.8,27.34,67.26,237,56,301,231,69,97,68,0,4,9,8,0,70,70,70,70,1,1,1,1
42,air,354,354,354,354,59,155.8,27.34,67.26,237,56,301,231,69,97,68,0,4,9,8,0,70,70,70,70,1,1,1,1
43,air,354,354,354,354,59,155.8,27.34,67.26,237,56,301,231,69,97,68,0,4,9,8,0,70,70,70,70,1,1,1,1
44,air,354,354,354,354,59,155.8,27.34,67.26,237,56,301,231,69,97,68,0,4,9,8,0,70,70,70,70,1,1,1,1
45,air,354,354,354,354,59,155.8,27.34,67.26,237,56,301,231,69,97,68,0,4,9,8,0,70,70,70,70,1,1,1,1
46,air,354,354,354,354,59,155.8,27.34,67.26,237,56,301,231,69,97,68,0,4,9,8,0,70,70,70,70,1,1,1,1
47,air,354,354,354,354,59,155.8,27.34,67.26,237,56,301,231,69,97,68,0,4,9,8,0,55,55,55,55,1,1,1,1
48,air,354,354,354,354,59,155.8,27.34,67.26,237,56,301,231,69,97,68,0,4,9,8,0,70,70,70,70,1,1,1,1
49,air,354,354,354,354,59,155.8,27.34,67.26,237,56,301,231,69,97,68,0,4,9,8,0,55,55,55,55,1,1,1,1
50,air,354,354,354,354,59,155.8,27.34,67.26,237,56,301,231,69,97,68,0,4,9,8,0,70,70,70,70,1,1,1,1
51,car,354,354,354,354,59,155.8,27.34,67.26,237,56,301,231,69,97,68,0,4,9,8,0,35,35,35,35,1,1,1,1
52,car,354,354,354,354,59,155.8,27.34,67.26,237,56,301,231,69,97,68,0,4,9,8,0,55,55,55,55,1,1,1,1
53,car,354,354,354,354,59,155.8,27.34,67.26,237,56,301,231,69,97,68,0,4,9,8,0,70,70,70,70,1,1,1,1
54,car,354,354,354,354,59,155.8,27.34,67.26,237,56,301,231,69,97,68,0,4,9,8,0,70,70,70,70,1,1,1,1
55,car,354,354,354,354,59,155.8,27.34,67.26,237,56,301,231,69,97,68,0,4,9,8,0,70,70,70,70,1,1,1,1
56,car,354,354,354,354,59,155.8,27.34,67.26,237,56,301,231,69,97,68,0,4,9,8,0,35,35,35,35,1,1,1,1
57,car,354,354,354,354,59,155.8,27.34,67.26,237,56,301,231,69,97,68,0,4,9,8,0,31,31,31,31,1,1,1,1
58,car,354,354,354,354,59,155.8,27.34,67.26,237,56,301,231,69,97,68,0,4,9,8,0,25,25,25,25,1,1,1,1
59,car,354,354,354,354,59,155.8,27.34,67.26,237,56,301,231,69,97,68,0,4,9,8,0,25,25,25,25,1,1,1,1
60,train,362,362,362,362,61.35,152.65,27.27,68.78,237,56,301,242,94,93,83,0,4,9,8,0,15,15,15,15,1,1,1,1
61,train,362,362,362,362,61.35,152.65,27.27,68.78,237,56,301,242,94,93,83,0,4,9,8,0,15,15,15,15,1,1,1,1
62,air,362,362,362,362,61.35,152.65,27.27,68.78,237,56,301,242,94,93,83,0,4,9,8,0,70,70,70,70,1,1,1,1
63,air,362,362,362,362,61.35,152.65,27.27,68.78,237,56,301,242,94,93,83,0,4,9,8,0,55,55,55,55,1,1,1,1
64,air,362,362,362,362,61.35,152.65,27.27,68.78,237,56,301,242,94,93,83,0,4,9,8,0,70,70,70,70,1,1,1,1
65,air,362,362,362,362,61.35,152.65,27.27,68.78,237,56,301,242,94,93,83,0,4,9,8,0,70,70,70,70,1,1,1,1
66,air,362,362,362,362,61.35,152.65,27.27,68.78,237,56,301,242,94,93,83,0,4,9,8,0,70,70,70,70,1,1,1,1
67,car,362,362,362,362,61.35,152.65,27.27,68.78,237,56,301,242,94,93,83,0,4,9,8,0,25,25,25,25,1,1,1,1
68,car,362,362,362,362,61.35,152.65,27.27,68.78,237,56,301,242,94,93,83,0,4,9,8,0,70,70,70,70,1,1,1,1
69,car,362,362,362,362,61.35,152.65,27.27,68.78,237,56,301,242,94,93,83,0,4,9,8,0,45,45,45,45,1,1,1,1
70,car,362,362,362,362,61.35,152.65,27.27,68.78,237,56,301,242,94,93,83,0,4,9,8,0,55,55,55,55,1,1,1,1
71,car,362,362,362,362,61.35,152.65,27.27,68.78,237,56,301,242,94,93,83,0,4,9,8,0,55,55,55,55,1,1,1,1
72,car,362,362,362,362,61.35,152.65,27.27,68.78,237,56,301,242,94,93,83,0,4,9,8,0,70,70,70,70,1,1,1,1
73,train,365,365,365,365,60.85,154.45,27.42,69.35,237,56,301,245,94,99,86,0,4,9,8,0,45,45,45,45,1,1,1,1
74,train,365,365,365,365,60.85,154.45,27.42,69.35,237,56,301,245,94,99,86,0,4,9,8,0,70,70,70,70,1,1,1,1
75,air,365,365,365,365,60.85,154.45,27.42,69.35,237,56,301,245,94,99,86,0,4,9,8,0,70,70,70,70,1,1,1,1
76,air,365,365,365,365,60.85,154.45,27.42,69.35,237,56,301,245,94,99,86,0,4,9,8,0,70,70,70,70,1,1,1,1
77,car,365,365,365,365,60.85,154.45,27.42,69.35,237,56,301,245,94,99,86,0,4,9,8,0,25,25,25,25,1,1,1,1
78,car,365,365,365,365,60.85,154.45,27.42,69.35,237,56,301,245,94,99,86,0,4,9,8,0,45,45,45,45,1,1,1,1
79,car,365,365,365,365,60.85,154.45,27.42,69.35,237,56,301,245,94,99,86,0,4,9,8,0,70,70,70,70,1,1,1,1
80,car,365,365,365,365,60.85,154.45,27.42,69.35,237,56,301,245,94,99,86,0,4,9,8,0,25,25,25,25,1,1,1,1
81,car,365,365,365,365,60.85,154.45,27.42,69.35,237,56,301,245,94,99,86,0,4,9,8,0,45,45,45,45,1,1,1,1
82,car,377,377,377,377,61.85,146.2,26.67,71.63,237,56,301,262,108,84,88,0,4,9,8,0,45,45,45,45,0,0,0,0
83,air,380,380,380,380,62.85,154.2,31.67,72.2,237,56,301,265,112,104,93,0,4,9,8,0,70,70,70,70,0,0,0,0
84,air,380,380,380,380,62.85,154.2,31.67,72.2,237,56,301,265,112,104,93,0,4,9,8,0,70,70,70,70,0,0,0,0
85,car,380,380,380,380,62.85,154.2,31.67,72.2,237,56,301,265,112,104,93,0,4,9,8,0,45,45,45,45,0,0,0,0
86,car,380,380,380,380,62.85,154.2,31.67,72.2,237,56,301,265,112,104,93,0,4,9,8,0,35,35,35,35,0,0,0,0
87,car,380,380,380,380,62.85,154.2,31.67,72.2,237,56,301,265,112,104,93,0,4,9,8,0,70,70,70,70,0,0,0,0
88,car,380,380,380,380,61.85,155.2,26.67,72.2,237,56,301,265,94,99,83,0,4,9,8,0,45,45,45,45,0,0,0,0
89,car,409,409,409,409,62.85,150.2,26.67,77.71,237,56,301,276,124,114,113,0,4,9,8,0,55,55,55,55,0,0,0,0
90,car,409,409,409,409,62.85,150.2,26.67,77.71,237,56,301,276,124,114,113,0,4,9,8,0,70,70,70,70,0,0,0,0
91,car,393,393,393,393,62.85,150.2,26.67,74.67,237,56,301,258,112,109,103,0,4,9,8,0,70,70,70,70,0,0,0,0
92,train,355,355,355,355,59,146.9,30.37,67.45,215,56,301,256,85,91,79,0,4,9,8,0,70,70,70,70,0,0,0,0
93,car,355,355,355,355,59,146.9,30.37,67.45,215,56,301,256,85,91,79,0,4,9,8,0,70,70,70,70,0,0,0,0
94,air,343,343,343,343,61.6,155.3,30.67,65.17,237,56,301,240,105,83,99,0,4,9,8,0,55,55,55,55,1,1,1,1
95,train,332,332,332,332,59.75,159.9,30.19,63.08,237,56,301,226,80,103,84,0,4,9,8,0,70,70,70,70,1,1,1,1
96,air,340,340,340,340,62.1,156.75,30.12,64.6,237,56,301,237,105,99,99,0,4,9,8,0,70,70,70,70,1,1,1,1
97,air,340,340,340,340,62.1,156.75,30.12,64.6,237,56,301,237,105,99,99,0,4,9,8,0,70,70,70,70,1,1,1,1
98,car,358,358,358,358,63.6,158.3,34.52,68.02,237,56,301,260,123,110,109,0,4,9,8,0,35,35,35,35,0,0,0,0
99,air,370,370,370,370,63.6,154.3,29.52,70.3,237,56,301,276,135,115,129,0,4,9,8,0,70,70,70,70,0,0,0,0
100,car,387,387,387,387,63.6,154.3,29.52,73.53,237,56,301,271,135,120,129,0,4,9,8,0,70,70,70,70,0,0,0,0
101,car,294,294,294,294,60,146.9,30.57,55.86,215,56,301,211,95,111,90,0,4,9,8,0,55,55,55,55,0,0,0,0
102,train,271,271,271,271,60.75,159.9,30.39,51.49,237,56,301,181,90,123,95,0,4,9,8,0,70,70,70,70,1,1,1,1
103,train,271,271,271,271,60.75,159.9,30.39,51.49,237,56,301,181,90,123,95,0,4,9,8,0,70,70,70,70,1,1,1,1
104,train,271,271,271,271,60.75,159.9,30.39,51.49,237,56,301,181,90,123,95,0,4,9,8,0,55,55,55,55,1,1,1,1
105,car,271,271,271,271,60.75,159.9,30.39,51.49,237,56,301,181,90,123,95,0,4,9,8,0,70,70,70,70,1,1,1,1
106,car,271,271,271,271,60.75,159.9,30.39,51.49,237,56,301,181,90,123,95,0,4,9,8,0,35,35,35,35,1,1,1,1
107,car,279,279,279,279,63.1,156.75,30.32,53.01,237,56,301,192,115,119,110,0,4,9,8,0,25,25,25,25,1,1,1,1
108,train,293,293,293,293,50.75,154.4,25.71,55.67,187,50,316,199,75,113,90,0,4,4,2,0,70,70,70,70,1,1,1,1
109,car,293,293,293,293,50.75,154.4,25.71,55.67,187,50,316,199,75,113,90,0,4,4,2,0,70,70,70,70,1,1,1,1
110,car,293,293,293,293,45.1,135.1,21.89,55.67,165,50,316,211,80,76,60,0,1,4,2,0,25,25,25,25,0,0,0,0
111,car,293,293,293,293,45.1,135.1,21.89,55.67,165,50,316,211,80,76,60,0,1,4,2,0,70,70,70,70,0,0,0,0
112,car,293,293,293,293,45.1,135.1,21.89,55.67,165,50,316,211,80,76,60,0,1,4,2,0,35,35,35,35,0,0,0,0
113,car,293,293,293,293,45.1,135.1,21.89,55.67,165,50,316,211,80,76,60,0,1,4,2,0,70,70,70,70,0,0,0,0
114,train,303,303,303,303,45.1,138.1,21.04,57.57,205,50,316,200,65,76,55,0,3,4,2,0,70,70,70,70,0,0,0,0
115,car,303,303,303,303,45.1,138.1,21.04,57.57,205,50,316,200,65,76,55,0,3,4,2,0,35,35,35,35,0,0,0,0
116,car,303,303,303,303,45.1,138.1,21.04,57.57,205,50,316,200,65,76,55,0,3,4,2,0,70,70,70,70,0,0,0,0
117,car,281,281,281,281,48.5,143.5,22.19,53.39,187,50,316,195,100,68,80,0,4,4,2,0,55,55,55,55,1,1,1,1
118,car,281,281,281,281,48.5,143.5,22.19,53.39,187,50,316,195,100,68,80,0,4,4,2,0,70,70,70,70,1,1,1,1
119,car,281,281,281,281,48.5,143.5,22.19,53.39,187,50,316,195,100,68,80,0,4,4,2,0,70,70,70,70,1,1,1,1
120,car,281,281,281,281,48.5,143.5,22.19,53.39,187,50,316,195,100,68,80,0,4,4,2,0,35,35,35,35,1,1,1,1
121,car,281,281,281,281,48.5,143.5,22.19,53.39,187,50,316,195,100,68,80,0,4,4,2,0,31,31,31,31,1,1,1,1
122,car,270,270,270,270,46.65,148.1,21.71,51.3,187,50,316,181,75,88,65,0,4,4,2,0,55,55,55,55,1,1,1,1
123,car,270,270,270,270,46.65,148.1,21.71,51.3,187,50,316,181,75,88,65,0,4,4,2,0,35,35,35,35,1,1,1,1
124,car,270,270,270,270,46.65,148.1,21.71,51.3,187,50,316,181,75,88,65,0,4,4,2,0,35,35,35,35,1,1,1,1
125,car,278,278,278,278,49,144.95,21.64,52.82,187,50,316,192,100,84,80,0,4,4,2,0,70,70,70,70,1,1,1,1
126,car,278,278,278,278,49,144.95,21.64,52.82,187,50,316,192,100,84,80,0,4,4,2,0,45,45,45,45,1,1,1,1
127,car,278,278,278,278,49,144.95,21.64,52.82,187,50,316,192,100,84,80,0,4,4,2,0,70,70,70,70,1,1,1,1
128,car,281,281,281,281,48.5,146.75,21.79,53.39,187,50,316,195,100,90,83,0,4,4,2,0,25,25,25,25,1,1,1,1
129,car,281,281,281,281,48.5,146.75,21.79,53.39,187,50,316,195,100,90,83,0,4,4,2,0,35,35,35,35,1,1,1,1
130,car,265,265,265,265,50.15,154.4,22.21,50.35,187,50,316,183,90,103,80,0,4,4,2,0,55,55,55,55,1,1,1,1
131,car,265,265,265,265,50.15,154.4,22.21,50.35,187,50,316,183,90,103,80,0,4,4,2,0,25,25,25,25,1,1,1,1
132,car,150,150,150,150,32.75,132.75,11.23,28.5,92,40,109,112,75,120,86,0,5,25,7,0,35,35,35,35,0,0,0,0
133,car,150,150,150,150,32.75,132.75,11.23,28.5,92,40,109,112,75,120,86,0,5,25,7,0,25,25,25,25,0,0,0,0
134,car,237,237,237,237,40.35,129,17.4,45.03,138,40,152,164,65,101,91,0,4,25,12,0,70,70,70,70,0,0,0,0
135,car,215,215,215,215,43.75,134.4,18.55,40.85,120,40,152,159,100,93,116,0,12,25,12,0,70,70,70,70,1,1,1,1
136,car,215,215,215,215,43.75,134.4,18.55,40.85,120,40,152,159,100,93,116,0,12,25,12,0,35,35,35,35,1,1,1,1
137,train,204,204,204,204,41.9,139,18.07,38.76,120,40,152,144,75,113,101,0,12,25,12,0,55,55,55,55,1,1,1,1
138,train,204,204,204,204,41.9,139,18.07,38.76,120,40,152,144,75,113,101,0,12,25,12,0,70,70,70,70,1,1,1,1
139,train,204,204,204,204,41.9,139,18.07,38.76,120,40,152,144,75,113,101,0,12,25,12,0,55,55,55,55,1,1,1,1
140,train,204,204,204,204,41.9,139,18.07,38.76,120,40,152,144,75,113,101,0,12,25,12,0,45,45,45,45,1,1,1,1
141,air,204,204,204,204,41.9,139,18.07,38.76,120,40,152,144,75,113,101,0,12,25,12,0,70,70,70,70,1,1,1,1
142,car,204,204,204,204,41.9,139,18.07,38.76,120,40,152,144,75,113,101,0,12,25,12,0,28,28,28,28,1,1,1,1
143,car,204,204,204,204,41.9,139,18.07,38.76,120,40,152,144,75,113,101,0,12,25,12,0,25,25,25,25,1,1,1,1
144,car,326,326,326,326,53.75,133.4,24.88,61.94,120,40,346,226,120,140,96,0,12,25,1,0,45,45,45,45,0,0,0,0
145,air,587,587,587,587,92.75,175.6,42.6,111.53,434,96,515,406,90,100,99,0,2,5,7,0,70,70,70,70,1,1,1,1
146,air,587,587,587,587,92.75,175.6,42.6,111.53,434,96,515,406,90,100,99,0,2,5,7,0,70,70,70,70,1,1,1,1
147,train,621,621,621,621,90.75,172.2,43.8,117.99,434,96,515,413,79,95,98,0,2,5,7,0,45,45,45,45,1,1,1,1
148,train,621,621,621,621,90.75,172.2,43.8,117.99,434,96,515,413,79,95,98,0,2,5,7,0,45,45,45,45,1,1,1,1
149,car,621,621,621,621,90.75,172.2,43.8,117.99,434,96,515,413,79,95,98,0,2,5,7,0,70,70,70,70,1,1,1,1
150,air,631,631,631,631,92.45,173.6,43.6,119.89,434,96,515,426,80,95,101,0,2,5,7,0,55,55,55,55,1,1,1,1
151,car,147,147,147,147,38.5,130.9,26.7,27.93,92,40,265,115,85,120,60,0,5,25,5,0,70,70,70,70,0,0,0,0
152,car,179,179,179,179,40.5,136.2,25.7,34.01,92,40,265,133,90,135,55,0,5,25,5,0,55,55,55,55,0,0,0,0
153,car,179,179,179,179,40.5,136.2,25.7,34.01,92,40,265,133,90,135,55,0,5,25,5,0,70,70,70,70,0,0,0,0
154,car,179,179,179,179,40.5,136.2,25.7,34.01,92,40,265,133,90,135,55,0,5,25,5,0,45,45,45,45,0,0,0,0
155,car,179,179,179,179,40.5,136.2,25.7,34.01,92,40,265,133,90,135,55,0,5,25,5,0,45,45,45,45,0,0,0,0
156,car,196,196,196,196,44.05,135.9,26.7,37.24,92,40,265,148,95,137,60,0,5,25,5,0,35,35,35,35,0,0,0,0
157,car,196,196,196,196,44.05,135.9,26.7,37.24,92,40,265,148,95,137,60,0,5,25,5,0,70,70,70,70,0,0,0,0
158,car,196,196,196,196,44.05,135.9,26.7,37.24,92,40,265,148,95,137,60,0,5,25,5,0,55,55,55,55,0,0,0,0
159,air,551,551,551,551,85.95,166.5,43,104.69,367,58,433,362,104,142,67,0,3,36,6,0,45,45,45,45,1,1,1,1
160,air,561,561,561,561,87.65,167.9,42.8,106.59,367,58,433,375,105,142,70,0,3,36,6,0,70,70,70,70,1,1,1,1
161,car,198,198,198,198,42.5,150.9,27.31,37.62,92,40,295,144,100,140,55,0,5,25,6,0,70,70,70,70,0,0,0,0
162,car,198,198,198,198,42.5,150.9,27.31,37.62,92,40,295,144,100,140,55,0,5,25,6,0,26,26,26,26,0,0,0,0
163,car,198,198,198,198,42.5,150.9,27.31,37.62,92,40,295,144,100,140,55,0,5,25,6,0,35,35,35,35,0,0,0,0
164,car,198,198,198,198,42.5,150.9,27.31,37.62,92,40,295,144,100,140,55,0,5,25,6,0,35,35,35,35,0,0,0,0
165,train,553,553,553,553,84.4,181.5,42.05,105.07,367,58,433,359,109,145,62,0,3,36,6,0,35,35,35,35,1,1,1,1
166,air,553,553,553,553,84.4,181.5,42.05,105.07,367,58,433,359,109,145,62,0,3,36,6,0,70,70,70,70,1,1,1,1
167,air,553,553,553,553,84.4,181.5,42.05,105.07,367,58,433,359,109,145,62,0,3,36,6,0,35,35,35,35,1,1,1,1
168,train,558,558,558,558,87.4,187.9,40.85,106.02,367,58,433,365,115,150,60,0,3,36,6,0,45,45,45,45,0,0,0,0
169,air,677,677,677,677,90.5,211.25,26.71,128.63,394,69,536,416,115,163,60,0,3,45,4,0,45,45,45,45,0,0,0,0
170,car,215,215,215,215,50.55,126,18.25,40.85,144,40,152,167,101,86,70,0,4,25,12,0,35,35,35,35,0,0,0,0
171,car,225,225,225,225,55.55,129,17.4,42.75,144,40,152,156,107,86,65,0,4,25,12,0,55,55,55,55,0,0,0,0
172,car,203,203,203,203,45.55,134.4,18.55,38.57,144,40,152,151,102,78,90,0,4,25,12,0,70,70,70,70,1,1,1,1
173,train,192,192,192,192,43.7,139,18.07,36.48,144,40,152,137,77,98,75,0,4,25,12,0,45,45,45,45,1,1,1,1
174,train,192,192,192,192,43.7,139,18.07,36.48,144,40,152,137,77,98,75,0,4,25,12,0,45,45,45,45,1,1,1,1
175,car,192,192,192,192,43.7,139,18.07,36.48,144,40,152,137,77,98,75,0,4,25,12,0,15,15,15,15,1,1,1,1
176,train,134,134,134,134,36.5,126.9,11.38,25.46,92,40,109,107,80,115,65,0,5,25,7,0,70,70,70,70,0,0,0,0
177,car,134,134,134,134,36.5,126.9,11.38,25.46,92,40,109,107,80,115,65,0,5,25,7,0,35,35,35,35,0,0,0,0
178,car,134,134,134,134,36.5,126.9,11.38,25.46,92,40,109,107,80,115,65,0,5,25,7,0,45,45,45,45,0,0,0,0
179,bus,125,125,125,125,34.5,122.9,11.73,23.75,92,40,109,101,70,119,60,0,5,25,7,0,35,35,35,35,0,0,0,0
180,car,125,125,125,125,34.5,122.9,11.73,23.75,92,40,109,101,70,119,60,0,5,25,7,0,26,26,26,26,0,0,0,0
181,car,125,125,125,125,34.5,122.9,11.73,23.75,92,40,109,101,70,119,60,0,5,25,7,0,35,35,35,35,0,0,0,0
182,car,125,125,125,125,34.5,122.9,11.73,23.75,92,40,109,101,70,119,60,0,5,25,7,0,70,70,70,70,0,0,0,0
183,car,125,125,125,125,34.5,122.9,11.73,23.75,92,40,109,101,70,119,60,0,5,25,7,0,70,70,70,70,0,0,0,0
184,car,125,125,125,125,34.5,122.9,11.73,23.75,92,40,109,101,70,119,60,0,5,25,7,0,25,25,25,25,0,0,0,0
185,car,125,125,125,125,34.5,122.9,11.73,23.75,92,40,109,101,70,119,60,0,5,25,7,0,70,70,70,70,0,0,0,0
186,car,125,125,125,125,34.5,122.9,11.73,23.75,92,40,109,101,70,119,60,0,5,25,7,0,55,55,55,55,0,0,0,0
187,car,130,130,130,130,36.5,126.9,11.38,24.7,92,40,109,106,80,115,70,0,5,25,7,0,70,70,70,70,0,0,0,0
188,car,134,134,134,134,33.5,126.9,11.38,25.46,92,40,109,109,70,105,65,0,5,25,7,0,70,70,70,70,0,0,0,0
189,train,134,134,134,134,29.5,126.25,10.73,25.46,92,40,109,107,65,100,55,0,5,25,7,0,70,70,70,70,0,0,0,0
190,car,134,134,134,134,29.5,126.25,10.73,25.46,92,40,109,107,65,100,55,0,5,25,7,0,29,29,29,29,0,0,0,0
191,car,134,134,134,134,29.5,126.25,10.73,25.46,92,40,109,107,65,100,55,0,5,25,7,0,45,45,45,45,0,0,0,0
192,car,134,134,134,134,29.5,126.25,10.73,25.46,92,40,109,107,65,100,55,0,5,25,7,0,70,70,70,70,0,0,0,0
193,train,151,151,151,151,31.1,122.9,10.38,28.69,98,40,109,121,59,90,58,0,8,25,7,0,70,70,70,70,0,0,0,0
194,train,151,151,151,151,31.1,122.9,10.38,28.69,98,40,109,121,59,90,58,0,8,25,7,0,70,70,70,70,0,0,0,0
195,train,151,151,151,151,31.1,122.9,10.38,28.69,98,40,109,121,59,90,58,0,8,25,7,0,70,70,70,70,0,0,0,0
196,car,151,151,151,151,31.1,122.9,10.38,28.69,98,40,109,121,59,90,58,0,8,25,7,0,55,55,55,55,0,0,0,0
197,car,151,151,151,151,31.1,122.9,10.38,28.69,98,40,109,121,59,90,58,0,8,25,7,0,70,70,70,70,0,0,0,0
198,car,151,151,151,151,31.1,122.9,10.38,28.69,98,40,109,121,59,90,58,0,8,25,7,0,35,35,35,35,0,0,0,0
199,car,151,151,151,151,31.1,122.9,10.38,28.69,98,40,109,121,59,90,58,0,8,25,7,0,55,55,55,55,0,0,0,0
200,air,211,211,211,211,32.1,119.5,17.75,40.09,98,40,152,170,70,81,65,0,8,25,12,0,45,45,45,45,0,0,0,0
201,car,211,211,211,211,32.1,119.5,17.75,40.09,98,40,152,170,70,81,65,0,8,25,12,0,35,35,35,35,0,0,0,0
202,car,211,211,211,211,32.1,119.5,17.75,40.09,98,40,152,170,70,81,65,0,8,25,12,0,45,45,45,45,0,0,0,0
